SampleID	Treatment	LabID	meta1	metaA	meta3	meta4	meta5	meta6	meta7	meta8	meta9
R18-50	A	KVYCD	40.35	7.175	0.852	5.531	0.981	1.093	0.036	0.033	56.05
R18-51	A	YOCDM	33.14	6.563	0.973	3.697	1.003	1.069	0.026	0.021	46.49
R18-52	A	XSKRZ	39.27	5.255	0.698	4.934	0.739	1.112	0.033	0.024	52.06
R18-53	C	IZACX	71.48	10.577	1.15	2.974	1.652	0.88	0.034	0.052	88.79
R18-54	C	FERTU	41.71	9.825	0.683	16.126	0.962	1.105	0.031	0.026	70.47
R18-55	C	ZKPCJ	35.62	7.8	0.732	10.531	1.046	0.797	0.037	0.015	56.58
R18-56	C	FWZMP	52.16	8.682	0.49	9.282	0.864	1.269	0.061	0.024	72.83
R18-57	D	UMLTQ	74.03	11.852	0.872	13.429	1.13	0.931	0.029	0.072	102.35
R18-58	D	XHMGA	54.55	10.192	0.931	12.856	1.066	1.386	0.023	0.043	81.05
R18-59	D	PJZZQ	37.82	6.475	0.572	5.941	0.73	0.983	0.023	0.018	52.56
R18-60	D	TFPDK	73.79	11.763	0.693	20.25	0.761	1.288	0.03	0	108.57
R18-61	B	YWHHC	37.4	5.46	0.772	3.024	0.931	0.736	0.023	0.03	48.38
R18-62	B	SJWAO	44.33	6.412	0.824	6.478	0.894	0.97	0.015	0.015	59.94
R18-63	B	WWRQZ	26.33	4.379	0.529	1.974	0.65	0.558	0.021	0.015	34.45
R18-64	B	NUSJB	25.18	4.307	0.56	2.92	0.616	0.566	0.031	0.019	34.2
R18-65	A	KRFLX	31.42	5.059	0.969	3.962	1.171	0.787	0.035	0.09	43.49
R18-66	A	ZXKSR	22.73	3.856	0.659	3.184	0.699	0.62	0.031	0.03	31.81
R18-67	A	STASS	43.12	4.52	0.792	7.4	0.878	1.26	0.029	0.023	58.01
R18-69	D	YNCMX	83.91	9.774	0.566	19.32	0.975	0.856	0.047	0.075	115.52
R18-70	D	TYWGO	46.64	11.654	0.531	9.045	0.82	1.031	0.011	0.016	69.75
R18-73	A	VWACP	36.7	5.265	0.851	5.006	0.981	0.992	0.025	0.013	49.83
R18-74	A	QJTKP	33.37	4.823	0.696	5.071	0.756	0.632	0.034	0.03	45.41
R18-75	A	VGUTP	36.27	4.977	0.796	4.564	0.862	0.906	0.042	0.015	48.43
R18-76	A	UKHGB	36.44	4.392	0.817	5.812	0.764	1.094	0.025	0.015	49.36
R18-77	D	IPWMC	59.64	8.284	0.615	16.266	0.72	0.843	0.022	0	86.39
R18-78	D	ZADPX	44.79	8.244	0.52	15.746	0.765	0.887	0.034	0.022	71.01
R18-79	D	YEKQJ	51.11	9.863	1.094	11.245	1.098	1.172	0.04	0	75.62
R18-80	D	CIWKD	35.25	7.181	0.772	5.096	1.014	0.837	0.042	0	50.19
R18-81	C	CSDVI	87.66	17.59	0.553	9.29	0.628	0.906	0.019	0	116.65
R18-82	C	WVKOV	58.07	8.639	0.406	9.14	0.57	0.808	0.019	0.015	77.66
R18-83	C	KCWNY	38.05	9.74	0.686	5.284	0.949	0.855	0.014	0.006	55.58
R18-84	C	RYMND	51.14	10.255	0.854	12.241	1.039	1.048	0.032	0	76.61
R18-85	C	FYSDH	32.38	8.643	1.023	4.017	1.472	0.941	0.027	0.022	48.52
R18-86	C	TMVJQ	30.46	6.515	0.809	4.232	0.968	0.731	0.024	0.028	43.77
R18-87	C	BUKEW	40.45	8.792	0.828	6.264	1.05	1.037	0.03	0.012	58.46
R18-88	C	WZRGW	33.01	8.189	0.849	3.225	1.08	0.886	0.022	0	47.26
R18-89	B	WFJJN	17.84	4.967	0.656	2.043	0.79	0.457	0.011	0.032	26.8
R18-90	B	LGJNM	39.32	6.804	0.883	3.522	0.944	0.943	0.008	0.014	52.43
R18-91	B	RTOXH	34.67	8.439	1.14	3.666	0.946	0.946	0.013	0.007	49.83
R18-92	B	RPNKY	37.44	7.766	1.033	4.502	1.045	0.926	0.047	0	52.76
R18-93	B	GTGLT	33.11	5.145	0.695	3.939	0.798	0.76	0.021	0	44.47
R18-94	B	DGSFI	40.88	6.307	0.739	5.201	0.774	0.858	0.024	0.016	54.8
R18-95	B	CFKWI	36.41	5.901	0.635	4.167	0.607	0.673	0.019	0.009	48.42
R18-96	B	OFYLL	37.4	6	0.921	5.29	0.929	0.984	0.033	0.024	51.58
